x[mm],y[mm]
8.429856121264489843e+01,3.874542691796737870e+01
8.752090957427668627e+01,4.060902778826896053e+01
8.644495911014604417e+01,4.246945148227983680e+01
8.751815805889663125e+01,4.433146376443606584e+01
9.074325793590850253e+01,4.247262865855400094e+01
9.074600945128855756e+01,3.875019268240343706e+01
9.289515886416978674e+01,3.875178127054878985e+01
9.504705979243107095e+01,3.503093388252706575e+01
9.933985558743341926e+01,4.247898301115195352e+01
9.397110932830042884e+01,3.689135757653791359e+01
9.719345768993224510e+01,3.875495844684000701e+01
9.719070617455219008e+01,4.247739442300660073e+01
1.004130545361839779e+02,4.434099529330818257e+01
9.718795465917210663e+01,4.619983039918979273e+01
9.718520314379202318e+01,4.992226637534081135e+01
9.933435255667328079e+01,4.992385496348616414e+01
1.004103030208039513e+02,4.806343126947528788e+01
1.036326513824357107e+02,4.992703213977686971e+01
1.068577512594476104e+02,4.806819703391131782e+01
1.057845523106970234e+02,4.620618475175508877e+01
1.100828511364594533e+02,4.620936192805338294e+01
1.100800996210793983e+02,4.993179790421292807e+01
1.122292490339606559e+02,4.993338649235828086e+01
1.133024479827112430e+02,5.179539877451450991e+01
1.165275478597230858e+02,4.993656366866007090e+01
1.165302993751031408e+02,4.621412769248188113e+01
1.186794487879843416e+02,4.621571628062726234e+01
1.143756469314618300e+02,5.365741105667073896e+01
1.186739457572242884e+02,5.366058823296144453e+01
1.197498962213549305e+02,5.180016453895056827e+01
1.272650403779890951e+02,6.111181453787706630e+01
1.294141897908703243e+02,6.111340312601923586e+01
1.294114382754902692e+02,6.483583910218952440e+01
1.326337866371220855e+02,6.669943997249110623e+01
1.337097371012527276e+02,6.483901627848022997e+01
1.326365381525021121e+02,6.297700399632400092e+01
1.358588865141339852e+02,6.484060486659681999e+01
1.358561349987539302e+02,6.856304084279271649e+01
1.390784833603857180e+02,7.042664171309426990e+01
1.401544338245163601e+02,6.856621801908339364e+01
1.423035832373975893e+02,6.856780660723261178e+01
1.423063347527776159e+02,6.484537063106164112e+01
1.455314346297894872e+02,6.298653552519611765e+01
1.444527326502787901e+02,6.856939519537409922e+01
1.455259315990293771e+02,7.043140747753032826e+01
1.487510314760412484e+02,6.857257237166480479e+01
1.519733798376730647e+02,7.043617324196638663e+01
1.584153250455566422e+02,7.788581095873665561e+01
1.594885239943072008e+02,7.974782324089288466e+01
1.593426810329012824e+02,8.000000000000000000e+01
1.600000000000000000e+02,8.000000000000000000e+01
1.600000000000000000e+02,7.697245957458220289e+01
6.956697502721343795e+00,1.463877983063625265e+00
9.496542316412103446e+00,0.000000000000000000e+00
4.425509148215699184e+00,0.000000000000000000e+00
5.092492640776686841e-01,1.459112218627566904e+00
2.658398676958896090e+00,1.460700806772919691e+00
3.503174905117456550e+00,0.000000000000000000e+00
5.103277969890417376e-01,0.000000000000000000e+00
1.125499632848378795e+01,1.467055159354330840e+00
